#OTUID	GLOMICON_AWI_12	GLOMICON_AWI_16	GLOMICON_AWI_20	GLOMICON_AWI_4	GLOMICON_AWI_8	GLOMICON_NOC_10	GLOMICON_NOC_16	GLOMICON_NOC_22	GLOMICON_NOC_3	GLOMICON_NOC_32	GLOMICON_Roscoff_11	GLOMICON_Roscoff_15	GLOMICON_Roscoff_19	GLOMICON_Roscoff_3	GLOMICON_Roscoff_7
ASV_478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	248.0	72.0	255.0	239.0
ASV_479	0.0	0.0	0.0	0.0	0.0	110.0	158.0	156.0	234.0	176.0	49.0	29.0	14.0	57.0	47.0
ASV_484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	265.0	184.0	90.0	231.0	252.0
ASV_485	0.0	0.0	0.0	0.0	0.0	194.0	164.0	193.0	249.0	206.0	0.0	0.0	0.0	15.0	0.0
ASV_487	15.0	26.0	48.0	35.0	15.0	18.0	21.0	21.0	28.0	27.0	220.0	113.0	92.0	157.0	181.0
ASV_488	198.0	122.0	253.0	226.0	122.0	12.0	17.0	30.0	26.0	0.0	0.0	7.0	0.0	0.0	0.0
ASV_490	0.0	0.0	0.0	0.0	0.0	109.0	163.0	155.0	174.0	100.0	81.0	38.0	20.0	84.0	86.0
ASV_491	27.0	43.0	32.0	50.0	30.0	31.0	82.0	49.0	117.0	45.0	167.0	55.0	32.0	101.0	148.0
ASV_492	0.0	0.0	0.0	0.0	0.0	29.0	47.0	60.0	90.0	40.0	211.0	101.0	44.0	144.0	240.0
ASV_498	82.0	99.0	130.0	101.0	64.0	50.0	83.0	117.0	143.0	100.0	8.0	0.0	0.0	7.0	3.0
ASV_501	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	89.0	0.0	151.0	191.0	55.0	188.0	247.0
ASV_503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	251.0	136.0	96.0	224.0	266.0
ASV_505	0.0	0.0	0.0	0.0	0.0	124.0	238.0	167.0	195.0	211.0	17.0	13.0	0.0	5.0	0.0
ASV_509	152.0	185.0	272.0	250.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_512	178.0	208.0	317.0	138.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_518	100.0	99.0	191.0	152.0	73.0	0.0	0.0	35.0	46.0	0.0	49.0	58.0	0.0	61.0	60.0
ASV_519	0.0	0.0	0.0	0.0	0.0	28.0	14.0	26.0	34.0	26.0	70.0	234.0	97.0	134.0	260.0
ASV_524	128.0	144.0	313.0	253.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_525	0.0	0.0	0.0	0.0	0.0	136.0	152.0	123.0	225.0	170.0	40.0	20.0	24.0	24.0	0.0
ASV_526	10.0	33.0	33.0	0.0	0.0	62.0	131.0	61.0	146.0	115.0	84.0	39.0	18.0	89.0	92.0
ASV_528	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	24.0	0.0	234.0	149.0	51.0	218.0	226.0
ASV_539	0.0	0.0	0.0	0.0	0.0	25.0	50.0	52.0	82.0	179.0	0.0	55.0	103.0	143.0	184.0
ASV_542	57.0	30.0	65.0	87.0	39.0	33.0	71.0	66.0	147.0	55.0	43.0	49.0	14.0	36.0	75.0
ASV_554	0.0	0.0	0.0	0.0	0.0	6.0	0.0	6.0	15.0	7.0	248.0	151.0	49.0	107.0	247.0
ASV_555	0.0	0.0	0.0	0.0	0.0	123.0	107.0	145.0	322.0	138.0	0.0	0.0	0.0	0.0	0.0
ASV_563	0.0	0.0	0.0	0.0	0.0	27.0	89.0	54.0	72.0	82.0	130.0	88.0	37.0	129.0	112.0
ASV_571	70.0	122.0	367.0	182.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_572	118.0	166.0	227.0	218.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_573	95.0	86.0	152.0	129.0	82.0	29.0	59.0	38.0	58.0	72.0	0.0	0.0	0.0	0.0	0.0
ASV_575	0.0	0.0	0.0	0.0	0.0	57.0	79.0	88.0	80.0	83.0	119.0	46.0	48.0	119.0	78.0
ASV_576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	115.0	31.0	414.0	102.0
ASV_580	0.0	0.0	0.0	0.0	0.0	27.0	42.0	72.0	95.0	63.0	65.0	205.0	19.0	132.0	69.0
ASV_582	134.0	118.0	146.0	146.0	42.0	12.0	15.0	12.0	61.0	20.0	35.0	7.0	0.0	13.0	25.0
ASV_585	0.0	0.0	0.0	0.0	0.0	46.0	63.0	45.0	73.0	37.0	150.0	112.0	48.0	103.0	106.0
ASV_593	204.0	96.0	331.0	101.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_597	0.0	0.0	0.0	0.0	0.0	87.0	189.0	109.0	249.0	128.0	0.0	0.0	0.0	0.0	0.0
ASV_598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	761.0	0.0	0.0
ASV_599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	301.0	104.0	40.0	124.0	190.0
ASV_600	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	12.0	15.0	186.0	76.0	58.0	171.0	230.0
ASV_602	0.0	0.0	0.0	0.0	3.0	18.0	52.0	36.0	50.0	18.0	187.0	95.0	34.0	118.0	143.0
ASV_603	0.0	0.0	0.0	0.0	0.0	95.0	116.0	103.0	233.0	112.0	29.0	26.0	0.0	18.0	17.0
ASV_604	116.0	200.0	201.0	143.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	127.0	62.0	259.0	167.0
ASV_608	0.0	0.0	0.0	0.0	0.0	95.0	122.0	171.0	211.0	142.0	0.0	0.0	0.0	0.0	0.0
ASV_622	0.0	0.0	0.0	0.0	0.0	63.0	167.0	165.0	204.0	130.0	0.0	0.0	0.0	0.0	0.0
ASV_624	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	197.0	105.0	57.0	199.0	164.0
