ASV,domain,kingdom,supergroup,division,subdivision,class,order,family,genus,species
ASV_330,Eukaryota,unassigned,TSAR,Stramenopiles,Bigyra,Sagenista,Sagenista_X,MAST-10,MAST-10_X,MAST-10_X_sp.
ASV_331,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_332,Eukaryota,unassigned,unassigned,Dinoflagellata,unassigned,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,Haplozoon,uncultured_eukaryote
ASV_333,Eukaryota,unassigned,unassigned,Bryozoa,unassigned,Gymnolaemata,Cheilostomatida,unassigned,unassigned,unassigned
ASV_334,Eukaryota,unassigned,Obazoa,Opisthokonta,Metazoa,Echinodermata,Echinodermata_X,Echinodermata_XX,unassigned,unassigned
ASV_335,Eukaryota,unassigned,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_acuta
ASV_336,Eukaryota,unassigned,unassigned,Tunicata,unassigned,Appendicularia,Copelata,Oikopleuridae,Oikopleuridae,unassigned
ASV_337,Eukaryota,unassigned,TSAR,Telonemia,Telonemia_X,Telonemia_XX,Telonemia_XXX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.
ASV_338,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_339,Eukaryota,unassigned,unassigned,Mollusca,unassigned,Bivalvia,Ostreoida,Ostreidae,Ostrea,unassigned
ASV_340,Eukaryota,unassigned,unassigned,Arthropoda,unassigned,Maxillopoda,Cyclopoida,Cyclopoida,Cyclopoida,Cyclopina_sp.
ASV_341,Eukaryota,unassigned,unassigned,unassigned,unassigned,Cryptophyceae,Kathablepharidacea,Katablepharidaceae,Leucocryptos,Leucocryptos_marina
ASV_342,Eukaryota,unassigned,unassigned,Ciliophora,unassigned,Spirotrichea,unassigned,Strombidiidae,unassigned,unassigned
ASV_343,Eukaryota,unassigned,unassigned,Ciliophora,unassigned,Spirotrichea,Choreotrichida,Strobilidiidae,unassigned,unassigned
ASV_344,Eukaryota,unassigned,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Paracalanus,Paracalanus_parvus
ASV_345,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira_concaviuscula
ASV_346,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,unassigned
