#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1715	Metazoa	Mollusca	Bivalvia	Cardiida	Cardiidae	Parvicardium	Parvicardium minimum
ASV_1716							
ASV_1717		Cercozoa	Thecofilosea		Ebriacea		
ASV_1726		Cercozoa	Thecofilosea	Ventricleftida	Ventrifissuridae	Ventrifissura	
ASV_1731				Telonemida		Telonema	Telonema subtile
ASV_1741			Dinophyceae				
ASV_1757	Metazoa	Annelida	Polychaeta	Sabellida			
ASV_1758			Dinophyceae	Syndiniales			
ASV_1763	Metazoa	Mollusca	Bivalvia	Venerida			
ASV_1764		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
ASV_1765	Viridiplantae	Chlorophyta			Pycnococcaceae	Pycnococcus	Pycnococcus provasolii
ASV_1766		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros dichaeta
ASV_1768		Haptophyta					
ASV_1774			Dinophyceae				
ASV_1777			Dinophyceae	Gymnodiniales	Gymnodiniaceae		
ASV_1804		Cercozoa					
ASV_1806			Bigyra	Thraustochytrida	Thraustochytriaceae		
ASV_1821			Dinophyceae				
ASV_1828		Ciliophora	Spirotrichea				
ASV_1829			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	
ASV_1832			Dinophyceae	Syndiniales			
ASV_1836							
ASV_1837							
ASV_1846		Ciliophora	Spirotrichea	Tintinnida	Codonellidae	Tintinnopsis	Tintinnopsis fimbriata
ASV_1847			Dinophyceae				
ASV_1848							
ASV_1849			Dinophyceae	Syndiniales			
ASV_1858	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae		
ASV_1862			Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Aureococcus	Aureococcus anophagefferens
ASV_1868			Dinophyceae				
ASV_1869			Dinophyceae	Noctilucales	Noctilucaceae	Noctiluca	Noctiluca scintillans
ASV_1871			Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	
ASV_1874			Dinophyceae	Syndiniales			
ASV_1875			Choanoflagellata				uncultured Choanoflagellida
ASV_1882		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
